date,slot,weekend,guests,lead,actual,predicted,error,abs_error
2026-01-02,Couple Half Day,Weekday,2,6,2000.0,2410.0,410.0,410.0
2026-01-03,Extended Day,Weekday,10,0,6000.0,5270.0,-730.0,730.0
2026-01-06,Couple Half Day,Weekday,2,0,2000.0,2410.0,410.0,410.0
2026-01-09,24H Night,Weekday,10,0,3500.0,4690.0,1190.0,1190.0
2026-01-10,24H Night,Weekend,12,4,5000.0,5300.0,300.0,300.0
2026-01-12,12H Day,Weekday,3,5,2500.0,2750.0,250.0,250.0
2026-01-14,12H Day,Weekday,10,0,4000.0,2970.0,-1030.0,1030.0
2026-01-16,Couple Half Day,Weekday,2,0,2500.0,2290.0,-210.0,210.0
2026-01-17,24H Night,Weekend,10,0,5000.0,5220.0,220.0,220.0
2026-01-23,Couple Half Day,Weekday,2,0,1500.0,2370.0,870.0,870.0
2026-01-24,24H Night,Weekend,6,3,5000.0,5220.0,220.0,220.0
2026-01-25,24H Night,Weekday,8,0,4000.0,4720.0,720.0,720.0
2026-01-30,Couple Half Day,Weekday,2,1,2000.0,2410.0,410.0,410.0
2026-02-02,24H Night,Weekday,8,0,3500.0,3820.0,320.0,320.0
2026-02-06,24H Night,Weekday,10,3,3500.0,3850.0,350.0,350.0
2026-02-08,12H Day,Weekday,3,0,2500.0,4630.0,2130.0,2130.0
2026-02-10,Couple Half Day,Weekday,2,0,1500.0,2180.0,680.0,680.0
2026-02-13,Couple Half Day,Weekday,2,1,1500.0,2180.0,680.0,680.0
2026-02-14,24H Night,Weekend,5,0,4500.0,6300.0,1800.0,1800.0
2026-02-16,12H Day,Weekday,4,12,2500.0,2860.0,360.0,360.0
2026-02-18,Couple Half Day,Weekday,2,0,1500.0,2180.0,680.0,680.0
2026-02-21,Couple Half Day,Weekday,2,4,1500.0,6400.0,4900.0,4900.0
2026-02-24,Couple Half Day,Weekday,2,0,1500.0,2180.0,680.0,680.0
2026-02-25,Couple Half Day,Weekday,2,0,2000.0,2140.0,140.0,140.0
2026-02-27,24H Night,Weekday,9,14,3500.0,3820.0,320.0,320.0
2026-02-28,24H Night,Weekend,12,11,5000.0,6320.0,1320.0,1320.0
2026-03-02,24H Night,Weekday,17,7,7500.0,5570.0,-1930.0,1930.0
2026-03-03,24H Night,Weekday,20,2,18000.0,5880.0,-12120.0,12120.0
2026-03-05,24H Night,Weekday,12,0,4500.0,5270.0,770.0,770.0
2026-03-07,Couple Half Day,Weekday,2,0,1500.0,9050.0,7550.0,7550.0
2026-03-07,24H Night,Weekend,10,1,7000.0,9220.0,2220.0,2220.0
2026-03-09,12H Day,Weekday,10,0,4000.0,3760.0,-240.0,240.0
2026-03-11,Couple Half Day,Weekday,2,0,2500.0,2590.0,90.0,90.0
2026-03-12,12H Day,Weekday,6,0,3500.0,3580.0,80.0,80.0
2026-03-13,24H Night,Weekday,8,16,5500.0,5470.0,-30.0,30.0
2026-03-14,24H Night,Weekend,16,4,8500.0,9480.0,980.0,980.0
2026-03-16,12H Day,Weekday,6,0,3500.0,3580.0,80.0,80.0
2026-03-16,24H Night,Weekday,10,2,5000.0,5120.0,120.0,120.0
2026-03-19,24H Day,Weekday,4,-3,3800.0,6080.0,2280.0,2280.0
2026-03-20,12H Day,Weekday,15,0,3300.0,4150.0,850.0,850.0
2026-03-20,24H Night,Weekday,8,2,5500.0,5230.0,-270.0,270.0
2026-03-21,24H Night,Weekend,14,6,10000.0,9190.0,-810.0,810.0
2026-03-22,12H Night,Weekday,10,3,3000.0,3660.0,660.0,660.0
