year,month,slot_norm,is_weekend,median,count
2023,12,12H_DAY,0,2250.0,12
2023,12,12H_NIGHT,0,2500.0,2
2023,12,24H_NIGHT,0,3500.0,1
2023,12,24H_NIGHT,1,4800.0,3
2024,1,12H_DAY,0,2200.0,9
2024,1,12H_NIGHT,1,3750.0,2
2024,1,24H_NIGHT,0,3500.0,3
2024,1,24H_NIGHT,1,4500.0,2
2024,2,12H_DAY,0,2000.0,10
2024,2,12H_DAY,1,3300.0,1
2024,2,12H_NIGHT,0,2100.0,2
2024,2,12H_NIGHT,1,3000.0,1
2024,2,24H_NIGHT,0,2000.0,2
2024,2,24H_NIGHT,1,5000.0,3
2024,3,12H_DAY,0,3000.0,6
2024,3,24H_DAY,0,4600.0,2
2024,3,24H_NIGHT,0,3900.0,6
2024,3,24H_NIGHT,1,5750.0,8
2024,4,12H_DAY,0,3750.0,6
2024,4,12H_NIGHT,0,3500.0,1
2024,4,24H_DAY,0,4000.0,1
2024,4,24H_NIGHT,0,4500.0,10
2024,4,24H_NIGHT,1,7000.0,5
2024,5,12H_DAY,0,4000.0,5
2024,5,12H_NIGHT,0,4000.0,2
2024,5,24H_NIGHT,0,5500.0,19
2024,5,24H_NIGHT,1,11000.0,6
2024,6,12H_DAY,0,3000.0,5
2024,6,12H_DAY,1,10000.0,1
2024,6,12H_NIGHT,0,2500.0,2
2024,6,12H_NIGHT,1,3000.0,1
2024,6,24H_NIGHT,0,5500.0,9
2024,6,24H_NIGHT,1,5750.0,8
2024,7,12H_DAY,0,2500.0,13
2024,7,12H_NIGHT,0,2000.0,2
2024,7,24H_NIGHT,0,3000.0,1
2024,7,24H_NIGHT,1,5000.0,3
2024,8,12H_DAY,0,1850.0,12
2024,8,12H_NIGHT,0,2000.0,4
2024,8,24H_DAY,0,3250.0,2
2024,8,24H_NIGHT,1,3500.0,4
2024,9,12H_DAY,0,1500.0,14
2024,9,12H_DAY,1,3500.0,1
2024,9,12H_NIGHT,0,2500.0,2
2024,9,12H_NIGHT,1,2650.0,2
2024,9,24H_NIGHT,1,4500.0,1
2024,10,12H_DAY,0,2000.0,6
2024,10,12H_DAY,1,4000.0,1
2024,10,12H_NIGHT,0,2250.0,2
2024,10,24H_DAY,0,3500.0,1
2024,10,24H_DAY,1,4300.0,1
2024,10,24H_NIGHT,0,4000.0,5
2024,10,24H_NIGHT,1,4500.0,2
2024,11,12H_DAY,0,2000.0,11
2024,11,12H_DAY,1,3500.0,1
2024,11,12H_NIGHT,0,2150.0,4
2024,11,24H_DAY,0,4500.0,1
2024,11,24H_DAY,1,4500.0,1
2024,11,24H_NIGHT,0,4500.0,5
2024,11,24H_NIGHT,1,4750.0,6
2024,12,12H_DAY,0,1500.0,9
2024,12,12H_NIGHT,0,2000.0,1
2024,12,24H_DAY,0,3000.0,1
2024,12,24H_DAY,1,3000.0,2
2024,12,24H_NIGHT,0,4000.0,3
2024,12,24H_NIGHT,1,5000.0,3
2025,1,12H_DAY,0,2000.0,11
2025,1,12H_NIGHT,0,2250.0,2
2025,1,24H_NIGHT,0,4000.0,5
2025,1,24H_NIGHT,1,4500.0,4
2025,2,12H_DAY,0,2500.0,9
2025,2,12H_DAY,1,3500.0,1
2025,2,12H_NIGHT,0,1500.0,1
2025,2,24H_NIGHT,0,3500.0,3
2025,2,24H_NIGHT,1,4500.0,2
2025,3,12H_DAY,0,2250.0,4
2025,3,12H_NIGHT,0,3000.0,1
2025,3,24H_NIGHT,0,4250.0,12
2025,3,24H_NIGHT,1,5750.0,8
2025,4,12H_DAY,0,3000.0,5
2025,4,12H_NIGHT,0,3500.0,1
2025,4,24H_DAY,0,3000.0,1
2025,4,24H_NIGHT,0,5500.0,14
2025,4,24H_NIGHT,1,9500.0,6
2025,5,12H_DAY,0,3000.0,9
2025,5,12H_NIGHT,0,2000.0,3
2025,5,24H_NIGHT,0,5000.0,15
2025,5,24H_NIGHT,1,11000.0,7
2025,6,12H_DAY,0,2400.0,11
2025,6,12H_DAY,1,4750.0,2
2025,6,12H_NIGHT,0,2500.0,1
2025,6,12H_NIGHT,1,3000.0,1
2025,6,24H_NIGHT,0,4500.0,8
2025,6,24H_NIGHT,1,5000.0,5
2025,7,12H_DAY,0,2000.0,12
2025,7,12H_DAY,1,4500.0,1
2025,7,12H_NIGHT,0,1350.0,2
2025,7,12H_NIGHT,1,3000.0,1
2025,7,24H_NIGHT,0,3500.0,2
2025,7,24H_NIGHT,1,4500.0,3
2025,8,12H_DAY,0,2500.0,11
2025,8,12H_NIGHT,0,2500.0,1
2025,8,24H_DAY,0,4000.0,1
2025,8,24H_NIGHT,0,4000.0,6
2025,8,24H_NIGHT,1,4500.0,5
2025,9,12H_DAY,0,1500.0,11
2025,9,12H_NIGHT,0,2350.0,6
2025,9,12H_NIGHT,1,3000.0,1
2025,9,24H_NIGHT,1,2500.0,2
2025,10,12H_DAY,0,2000.0,16
2025,10,12H_DAY,1,2950.0,2
2025,10,12H_NIGHT,0,3250.0,2
2025,10,24H_NIGHT,0,2750.0,6
2025,10,24H_NIGHT,1,3000.0,2
2025,11,12H_DAY,0,1750.0,8
2025,11,24H_DAY,0,4000.0,1
2025,11,24H_NIGHT,0,3500.0,2
2025,11,24H_NIGHT,1,4250.0,6
2025,12,12H_DAY,0,1500.0,10
2025,12,12H_DAY,1,4500.0,1
2025,12,24H_NIGHT,0,2750.0,2
2025,12,24H_NIGHT,1,2500.0,2
2026,1,12H_DAY,0,2000.0,8
2026,1,24H_DAY,1,1000.0,1
2026,1,24H_NIGHT,0,2250.0,2
2026,1,24H_NIGHT,1,4500.0,6
2026,2,12H_DAY,0,1500.0,7
2026,2,12H_DAY,1,2500.0,1
2026,2,24H_NIGHT,0,3500.0,4
2026,2,24H_NIGHT,1,4500.0,3
2026,3,12H_DAY,0,3500.0,9
2026,3,12H_NIGHT,0,3000.0,1
2026,3,24H_DAY,0,3800.0,1
2026,3,24H_NIGHT,0,5500.0,9
2026,3,24H_NIGHT,1,5750.0,8
2026,4,12H_DAY,0,3750.0,10
2026,4,12H_NIGHT,0,1000.0,1
2026,4,24H_DAY,0,5000.0,1
2026,4,24H_NIGHT,0,5000.0,10
2026,4,24H_NIGHT,1,12000.0,5
2026,5,12H_DAY,0,4000.0,3
2026,5,12H_NIGHT,0,4250.0,2
2026,5,24H_NIGHT,0,6000.0,20
2026,5,24H_NIGHT,1,13500.0,7
2026,6,12H_DAY,0,4000.0,4
2026,6,12H_NIGHT,0,2500.0,1
2026,6,24H_NIGHT,0,5000.0,15
2026,6,24H_NIGHT,1,5500.0,8
2026,7,12H_DAY,0,2750.0,8
2026,7,12H_NIGHT,0,2750.0,4
2026,7,24H_NIGHT,0,3500.0,3
2026,7,24H_NIGHT,1,5000.0,5
2026,8,12H_DAY,0,1500.0,1
2026,8,24H_NIGHT,1,5500.0,1
