Month,Slot,Day Type,Level,Confidence,Reliability
1,12H Night,Weekday,2,0,Low
1,12H Night,Weekend,3,0,Low
1,24 Hour Night,Weekday,2,0,Low
1,24 Hour Night,Weekend,3,0,Low
2,12H Day,Weekday,2,0,Low
2,12H Night,Weekday,2,0,Low
2,12H Night,Weekend,4,0,Low
2,24 Hour Day,Weekday,2,0,Low
2,24 Hour Night,Weekday,2,0,Low
2,24 Hour Night,Weekend,4,0,Low
3,12H Day,Weekday,1,0,Low
3,12H Night,Weekday,1,0,Low
3,24 Hour Day,Weekday,1,0,Low
3,24 Hour Night,Weekday,1,0,Low
4,12H Day,Weekday,2,0,Low
4,12H Night,Weekday,2,0,Low
4,12H Night,Weekend,4,0,Low
4,24 Hour Day,Weekday,2,0,Low
4,24 Hour Night,Weekday,2,0,Low
4,24 Hour Night,Weekend,4,0,Low
5,12H Day,Weekday,1,0,Low
5,12H Night,Weekday,1,0,Low
5,12H Night,Weekend,4,0,Low
5,24 Hour Day,Weekday,1,0,Low
5,24 Hour Night,Weekday,1,0,Low
5,24 Hour Night,Weekend,4,0,Low
6,12H Day,Weekday,1,0,Low
6,12H Night,Weekday,1,0,Low
6,12H Night,Weekend,3,0,Low
6,24 Hour Day,Weekday,1,0,Low
6,24 Hour Night,Weekday,1,0,Low
6,24 Hour Night,Weekend,3,0,Low
7,12H Day,Weekday,2,0,Low
7,12H Night,Weekday,2,0,Low
7,12H Night,Weekend,2,0,Low
7,24 Hour Day,Weekday,2,0,Low
7,24 Hour Night,Weekday,2,0,Low
7,24 Hour Night,Weekend,2,0,Low
8,12H Night,Weekday,2,0,Low
8,12H Night,Weekend,4,0,Low
8,24 Hour Night,Weekday,2,0,Low
8,24 Hour Night,Weekend,4,0,Low
9,12H Day,Weekday,2,0,Low
9,12H Night,Weekday,2,0,Low
9,12H Night,Weekend,2,0,Low
9,24 Hour Day,Weekday,2,0,Low
9,24 Hour Night,Weekday,2,0,Low
9,24 Hour Night,Weekend,2,0,Low
10,12H Day,Weekday,2,0,Low
10,12H Night,Weekday,2,0,Low
10,12H Night,Weekend,3,0,Low
10,24 Hour Day,Weekday,2,0,Low
10,24 Hour Night,Weekday,2,0,Low
10,24 Hour Night,Weekend,3,0,Low
11,12H Day,Weekday,2,0,Low
11,12H Night,Weekday,3,0,Low
11,12H Night,Weekend,4,0,Low
11,24 Hour Day,Weekday,2,0,Low
11,24 Hour Night,Weekday,3,0,Low
11,24 Hour Night,Weekend,4,0,Low
12,12H Night,Weekday,3,0,Low
12,12H Night,Weekend,4,0,Low
12,24 Hour Night,Weekday,3,0,Low
12,24 Hour Night,Weekend,4,0,Low
