Group,Records,MAE,RMSE,MAPE,Mean_Error,Median_Error,Bias,R2
1,3,9856.653491963314,10207.890247880796,69.14963686304671,-9856.653491963314,-11311.4875,-9856.653491963314,-5.782085936060548
12,17,9856.422029030662,10358.325899529176,71.52203212501165,-9856.422029030662,-8616.666666666668,-9856.422029030662,-5.610166287338355
10,7,7707.256134856165,7940.851783220651,64.50489729112327,-7707.256134856165,-6965.888356223548,-7707.256134856165,-13.507625332949805
8,20,7660.17206253074,8013.462266234759,64.9771979068257,-7660.17206253074,-6993.157894736842,-7660.17206253074,-6.221317363449061
7,13,7479.490189441001,8040.993322186812,68.15666692335462,-7479.490189441001,-7388.632119514472,-7479.490189441001,-5.4726666451404595
2,16,7144.770215080405,7786.652285965284,65.29622008798988,-7144.770215080405,-5650.763888888889,-7144.770215080405,-4.191359310754604
5,12,7133.065555613778,7319.347852347527,57.04577161473381,-7133.065555613778,-7313.586948915376,-7133.065555613778,-5.643512158212372
9,12,7045.287798115015,7284.478859661355,71.90855766090837,-7045.287798115015,-6998.9473684210525,-7045.287798115015,-9.761298297434246
6,8,6831.19032646327,7136.143213211767,61.470637618544785,-6831.19032646327,-6559.423076923077,-6831.19032646327,-5.635751446607647
3,9,6783.685500546365,7243.514186664258,57.21244699663149,-6783.685500546365,-5796.5303756527155,-6783.685500546365,-4.458638511958509
11,14,6597.723356722056,6820.324156871448,68.03425261183925,-6597.723356722056,-7120.0,-6597.723356722056,-10.682843661096616
4,7,4724.093360278102,4884.025462589741,52.48795121421701,-4724.093360278102,-4490.261098690513,-4724.093360278102,-15.485635137405108
