Group,Records,MAE,RMSE,MAPE,Bias,Median_Error,R2
"(12, '24H Night')",2,14252.189912735686,14324.531934961222,76.04555396434414,-14252.189912735686,-14252.189912735686,-49.53715376751876
"(12, '24H Day')",4,13275.625,13348.703062001941,75.86812144105744,-13275.625,-13063.75,-22.81643568698703
"(1, '24H Day')",1,12126.518821162152,12126.518821162152,76.45976558109805,-12126.518821162152,-12126.518821162152,
"(7, '24H Day')",2,11848.538464311514,11882.297004407903,77.49920145742979,-11848.538464311514,-11848.538464311514,-219.6077845327516
"(2, '24H Night')",3,11818.649318439604,11838.700862688105,73.42255992216921,-11818.649318439604,-12020.97952778577,-2652.3309698062867
"(8, '24H Day')",3,11312.034770268372,11341.671226583218,73.8696365387949,-11312.034770268372,-11780.0,-206.53290475891853
"(1, '24H Night')",1,11311.4875,11311.4875,62.32224517906335,-11311.4875,-11311.4875,
"(2, '24H Day')",2,11201.55770513034,11231.753661138813,76.96947177929235,-11201.55770513034,-11201.55770513034,-177.7872595018497
"(9, '24H Day')",1,10788.157894736842,10788.157894736842,74.8138550259143,-10788.157894736842,-10788.157894736842,
"(7, '24H Night')",2,10670.317769652553,10765.671885605447,73.77636164628815,-10670.317769652553,-10670.317769652553,-53.0016499428138
"(6, '24H Night')",1,10500.064102564103,10500.064102564103,63.6753432538757,-10500.064102564103,-10500.064102564103,
"(3, '24H Day')",1,10171.798313654432,10171.798313654432,68.82136883392714,-10171.798313654432,-10171.798313654432,
"(6, '24H Day')",1,9432.992264416316,9432.992264416316,65.73513773112415,-9432.992264416316,-9432.992264416316,
"(8, '24H Night')",4,9408.030921052632,9542.800099827715,60.406982452544725,-9408.030921052632,-9949.916666666668,-56.871045817249176
"(3, '24H Night')",3,9169.683625730993,9241.376325664849,62.366277782010904,-9169.683625730993,-8775.250877192984,-53.26515468319593
"(10, '24H Night')",2,9161.131231884057,9630.995324827061,61.54933502723041,-9161.131231884057,-9161.131231884057,-19.004136877607536
"(12, '12H Night')",5,9110.666666666666,9201.301598747381,69.5650450548123,-9110.666666666666,-8616.666666666668,-26.92545613774303
"(5, '12H Night')",5,8518.30218909983,8572.753343088825,66.69935363810599,-8518.30218909983,-8350.33837890625,-76.85378005525631
"(11, '24H Day')",1,8072.596227843427,8072.596227843427,56.0986534249022,-8072.596227843427,-8072.596227843427,
"(9, '12H Night')",4,7892.913719943423,7998.241637349137,72.3468107103788,-7892.913719943423,-8022.142857142857,-50.87679462305916
"(11, '12H Night')",8,7690.775761124121,7743.7916833679155,75.41111529618041,-7690.775761124121,-7415.0,-63.57287823134921
"(7, '12H Night')",4,7274.582749766572,7291.12517833333,70.45975741555688,-7274.582749766572,-7422.887488328664,-574.7975235973597
"(10, '12H Night')",3,7180.036231884059,7225.733281786341,67.1215390192824,-7180.036231884059,-6708.369565217391,-78.94776662849348
"(10, '12H Day')",2,7044.210892286431,7044.646301601104,63.53549696277745,-7044.210892286431,-7044.210892286431,-371.5054720560114
"(8, '12H Night')",8,6767.631578947368,6786.442219556904,66.41003765122663,-6767.631578947368,-6740.263157894737,-105.17171747155689
"(6, '12H Night')",3,6748.333333333333,6753.63636618575,64.31700389484561,-6748.333333333333,-6577.884615384615,-92.7952834391994
"(12, '12H Day')",6,6733.160222452756,6801.444489684572,68.7476211930364,-6733.160222452756,-6879.35547694143,-13.99673830219539
"(5, '24H Night')",3,6668.021690429688,6788.185947734472,39.57667413860375,-6668.021690429688,-5847.511845458985,-43.15998127493589
"(2, '12H Night')",2,6480.0,6493.275367639971,64.78152710247433,-6480.0,-6480.0,-1547.6730945821853
"(1, '12H Day')",1,6131.954154727797,6131.954154727797,68.66689982897869,-6131.954154727797,-6131.954154727797,
"(9, '12H Day')",6,6079.789473684211,6217.526704958315,74.43631158803176,-6079.789473684211,-6263.9473684210525,-22.989391519481504
"(4, '12H Night')",3,5984.894514767932,6023.266133541125,60.75538541183789,-5984.894514767932,-5569.2405063291135,-55.96995746923458
"(5, '12H Day')",4,5750.302662644281,5856.093642815785,58.080617192616145,-5750.302662644281,-5736.09375,-17.504948267710315
"(9, '24H Night')",1,5704.903960764381,5704.903960764381,52.08372453528041,-5704.903960764381,-5704.903960764381,
"(8, '12H Day')",5,5498.832124804046,5756.813567165197,61.00536350002746,-5498.832124804046,-4509.511167681911,-12.590446777707221
"(2, '12H Day')",9,4833.028897300775,4865.033015793051,60.10776043086634,-4833.028897300775,-4761.416666666667,-36.645104675815794
"(6, '12H Day')",3,4823.822081575247,4876.091944623055,56.46786942627383,-4823.822081575247,-5077.64064697609,-887.6480642514972
"(3, '12H Day')",5,4674.464062813973,4744.299523434791,51.79836415794472,-4674.464062813973,-4539.357914812461,-9.149222799413993
"(7, '12H Day')",5,4619.465799147722,4769.257487983424,60.32930282678927,-4619.465799147722,-4080.25,-19.37980333832032
"(11, '12H Day')",5,4553.864935454479,4611.685495050212,58.61839215428078,-4553.864935454479,-4640.584174462498,-16.870166962370618
"(4, '12H Day')",4,3778.4924944107306,3812.3722368160834,46.28737556600135,-3778.4924944107306,-3698.1044394762052,-16.2507427934436
