slot,month,weekend,count,P25,P50,P75,P90,guest_rel,dur_rel
12H Day,1,0,14,2050.0,2500.0,2500.0,3700.000000000001,noisy/contradictory,noisy/contradictory
12H Day,2,0,13,2500.0,2500.0,3000.0,10700.000000000007,flat,noisy/contradictory
12H Day,3,0,14,3000.0,3500.0,4000.0,9950.00000000001,noisy/contradictory,noisy/contradictory
12H Day,4,0,10,3000.0,3750.0,4000.0,4000.0,noisy/contradictory,monotonic
12H Day,5,0,13,3000.0,3500.0,4000.0,4400.0,noisy/contradictory,monotonic
12H Day,6,0,13,2500.0,3000.0,4000.0,4000.0,noisy/contradictory,monotonic
12H Day,6,1,3,4750.0,6000.0,8000.0,9200.0,monotonic,insufficient
12H Day,7,0,14,2500.0,3000.0,3000.0,3350.0000000000005,noisy/contradictory,monotonic
12H Day,8,0,14,2500.0,2600.0,3000.0,3000.0,noisy/contradictory,noisy/contradictory
12H Day,9,0,8,1875.0,2200.0,2500.0,2650.0,noisy/contradictory,monotonic
12H Day,10,0,10,2500.0,2700.0,3375.0,4000.0,noisy/contradictory,monotonic
12H Day,11,0,6,2625.0,3000.0,3000.0,3500.0,noisy/contradictory,insufficient
12H Day,12,0,16,2000.0,2500.0,2700.0,2800.0,noisy/contradictory,monotonic
12H Night,1,0,3,2250.0,2500.0,2500.0,2500.0,noisy/contradictory,monotonic
12H Night,2,0,5,2000.0,2200.0,3000.0,3000.0,monotonic,monotonic
12H Night,3,0,10,2500.0,3000.0,3000.0,3000.0,noisy/contradictory,flat
12H Night,5,0,11,2500.0,2500.0,4000.0,4000.0,noisy/contradictory,noisy/contradictory
12H Night,6,0,7,2250.0,2500.0,2750.0,3000.0,noisy/contradictory,noisy/contradictory
12H Night,6,1,3,3000.0,3000.0,4000.0,4600.0,monotonic,monotonic
12H Night,7,0,8,2000.0,2250.0,3000.0,3000.0,monotonic,monotonic
12H Night,8,0,4,2250.0,2500.0,2625.0,2850.0,monotonic,flat
12H Night,9,0,8,2200.0,2500.0,2575.0,2920.0,noisy/contradictory,monotonic
12H Night,9,1,3,2650.0,2800.0,2900.0,2960.0,insufficient,insufficient
12H Night,10,0,10,2500.0,2750.0,3000.0,3050.0,noisy/contradictory,flat
12H Night,11,0,6,2000.0,2150.0,2450.0,2500.0,noisy/contradictory,noisy/contradictory
12H Night,12,0,4,2375.0,2500.0,2875.0,3550.0000000000005,insufficient,monotonic
24H Day,3,0,3,3500.0,3800.0,8150.0,10760.0,noisy/contradictory,monotonic
24H Day,11,0,3,4250.0,4500.0,4500.0,4500.0,noisy/contradictory,insufficient
24H Night,1,0,11,3250.0,4000.0,4100.0,8000.0,insufficient,insufficient
24H Night,1,1,7,5000.0,5000.0,5000.0,8000.000000000003,flat,insufficient
24H Night,2,0,6,3500.0,3500.0,3500.0,8000.0,monotonic,insufficient
24H Night,2,1,6,4625.0,5000.0,5375.0,5750.0,noisy/contradictory,insufficient
24H Night,3,0,27,4000.0,4500.0,5500.0,9500.000000000011,noisy/contradictory,insufficient
24H Night,3,1,13,7000.0,9500.0,10000.0,12500.0,monotonic,insufficient
24H Night,4,0,35,4650.0,5000.0,5500.0,5500.0,noisy/contradictory,insufficient
24H Night,4,1,8,11375.0,12000.0,12125.0,12650.0,flat,insufficient
24H Night,5,0,52,5000.0,5500.0,6000.0,6500.0,noisy/contradictory,insufficient
24H Night,5,1,13,12000.0,13000.0,13500.0,14000.0,flat,insufficient
24H Night,6,0,38,4500.0,5100.0,5500.0,6150.000000000002,monotonic,insufficient
24H Night,6,1,8,6750.0,10000.0,10750.0,13300.0,flat,insufficient
24H Night,7,0,6,3125.0,3500.0,3500.0,3750.0,monotonic,insufficient
24H Night,7,1,9,5000.0,5000.0,5500.0,5600.0,flat,insufficient
24H Night,8,0,5,3500.0,3500.0,4500.0,4500.0,insufficient,insufficient
24H Night,8,1,9,4000.0,4500.0,5000.0,5700.0,noisy/contradictory,insufficient
24H Night,10,0,6,4000.0,4000.0,4375.0,5250.0,noisy/contradictory,insufficient
24H Night,11,0,9,4000.0,4200.0,4500.0,4500.0,monotonic,insufficient
24H Night,11,1,6,5125.0,5500.0,5875.0,6250.0,noisy/contradictory,insufficient
24H Night,12,0,5,3500.0,3500.0,3800.0,3920.0,insufficient,insufficient
24H Night,12,1,6,4575.0,4900.0,5000.0,5000.0,noisy/contradictory,insufficient
Couple Full Night,4,0,3,3500.0,4000.0,4500.0,4800.0,insufficient,monotonic
Couple Full Night,6,0,3,3250.0,3500.0,3750.0,3900.0,insufficient,monotonic
Couple Half Day,1,0,13,2000.0,2000.0,2000.0,2200.0,insufficient,flat
Couple Half Day,2,0,14,1500.0,1850.0,2000.0,2640.0,insufficient,noisy/contradictory
Couple Half Day,3,0,4,1875.0,2250.0,2625.0,2850.0,insufficient,monotonic
Couple Half Day,4,0,10,2625.0,3250.0,4000.0,4500.0,insufficient,monotonic
Couple Half Day,6,0,4,2225.0,2350.0,2425.0,2470.0,insufficient,insufficient
Couple Half Day,7,0,19,2000.0,2000.0,2500.0,2500.0,insufficient,flat
Couple Half Day,8,0,5,1500.0,1500.0,2500.0,3100.0,insufficient,monotonic
Couple Half Day,9,0,15,1500.0,1500.0,1750.0,2000.0,insufficient,noisy/contradictory
Couple Half Day,10,0,13,1500.0,2000.0,2000.0,2160.0,insufficient,monotonic
Couple Half Day,11,0,10,1500.0,1700.0,2000.0,2000.0,insufficient,noisy/contradictory
Couple Half Day,12,0,13,1500.0,1500.0,1500.0,2000.0,insufficient,flat
