slot,month,weekend,count,median_price,p75_price,p90_price,predicted_mean,bias,high_price_bias,guest_elasticity_15_vs_4,guest_flatlined,dur_elasticity_16_vs_8,dur_flatlined
12H Day,1,0,14,2500.0,2500.0,3700.000000000001,2245.8857818501338,-804.1142181498664,-1402.7591825856102,0.0,True,0.0,True
12H Day,2,0,13,2500.0,3000.0,10700.000000000007,2362.975789657006,-1713.947287266071,-5381.66418325901,0.0,True,0.0,True
12H Day,3,0,14,3500.0,4000.0,9950.00000000001,4029.1401690528505,-417.28840237572086,-4493.046996561687,0.0,True,0.0,True
12H Day,4,0,10,3750.0,4000.0,4000.0,3150.8231610536577,-349.1768389463424,-605.1296032905578,0.0,True,0.0,True
12H Day,5,0,13,3500.0,4000.0,4400.0,3814.8412194863345,310.9950656401806,-513.3210717519124,0.0,True,0.0,True
12H Day,6,0,13,3000.0,4000.0,4000.0,2639.1918391203267,-314.65431472582696,-1410.9699268341064,0.0,True,0.0,True
12H Day,6,1,3,6000.0,8000.0,9200.0,3646.570124308268,-2853.429875691732,-6001.9326171875,0.0,True,0.0,True
12H Day,7,0,14,3000.0,3000.0,3350.0000000000005,2709.3882759468897,-4.8974383388246805,-350.34517243504524,0.0,True,0.0,True
12H Day,8,0,14,2600.0,3000.0,3000.0,2520.4969934054784,63.354136262621196,-309.1951886018117,0.0,True,0.0,True
12H Day,9,0,8,2200.0,2500.0,2650.0,2217.1527433395386,42.152743339538574,-483.97007242838544,0.0,True,0.0,True
12H Day,10,0,10,2700.0,3375.0,4000.0,2508.756710561117,-331.24328943888344,-771.5193023681641,0.0,True,0.0,True
12H Day,11,0,6,3000.0,3000.0,3500.0,2775.047141446008,-224.9528585539923,-600.9626585642495,0.0,True,0.0,True
12H Day,12,0,16,2500.0,2700.0,2800.0,2558.060243527095,201.81024352709454,4.116513570149739,0.0,True,0.0,True
12H Night,1,0,3,2500.0,2500.0,2500.0,2694.48158009847,361.1482467651367,24.86728858947754,0.0,True,0.0,True
12H Night,2,0,5,2200.0,3000.0,3000.0,2412.8875419616697,72.88754196166992,-861.7713851928711,0.0,True,0.0,True
12H Night,3,0,10,3000.0,3000.0,3000.0,3139.4149185180663,339.41491851806643,-5.468762715657552,0.0,True,0.0,True
12H Night,5,0,11,2500.0,4000.0,4000.0,2859.751957329837,-185.70258812470868,-1551.5608863830566,0.0,True,0.0,True
12H Night,6,0,7,2500.0,2750.0,3000.0,2083.764698391869,-130.52101589384532,-485.61890411376953,0.0,True,0.0,True
12H Night,6,1,3,3000.0,4000.0,4600.0,3210.5730679829917,-456.0935986836751,-1287.0927124023438,0.0,True,0.0,True
12H Night,7,0,8,2250.0,3000.0,3000.0,2162.4440956910453,-275.05590430895484,-892.796568552653,0.0,True,0.0,True
12H Night,8,0,4,2500.0,2625.0,2850.0,2154.5466594696045,-220.4533405303955,-923.5373077392578,0.0,True,0.0,True
12H Night,9,0,8,2500.0,2575.0,2920.0,2251.2962445020676,-111.20375549793243,-516.1226119995117,0.0,True,0.0,True
12H Night,9,1,3,2800.0,2900.0,2960.0,2888.3875732421875,121.72090657552083,-372.88336181640625,0.0,True,0.0,True
12H Night,10,0,10,2750.0,3000.0,3050.0,2493.2368763605755,-256.76312363942463,-579.1642063140869,0.0,True,0.0,True
12H Night,11,0,6,2150.0,2450.0,2500.0,1877.397488867795,-172.60251113220497,-420.36234283447266,0.0,True,0.0,True
12H Night,12,0,4,2500.0,2875.0,3550.0000000000005,2492.8409296671553,-257.15907033284503,-1241.2252807617188,0.0,True,0.0,True
24H Day,3,0,3,3800.0,8150.0,10760.0,3100.6758181254067,-3399.3241818745933,-8840.303894042969,0.0,True,0.0,True
24H Day,11,0,3,4500.0,4500.0,4500.0,4149.023035685222,-184.31029764811197,-509.07955169677734,0.0,True,0.0,True
24H Night,1,0,11,4000.0,4100.0,8000.0,3981.6628976951947,-836.5189204866236,-3989.0160369873047,0.0,True,0.0,True
24H Night,1,1,7,5000.0,5000.0,8000.000000000003,4912.245507376535,-1016.325921194894,-1374.8916931152344,0.0,True,0.0,True
24H Night,2,0,6,3500.0,3500.0,8000.0,3952.9545710086823,-1047.0454289913177,-1047.0454289913177,0.0,True,0.0,True
24H Night,2,1,6,5000.0,5375.0,5750.0,5322.387105305989,239.05377197265625,-647.8220138549805,0.0,True,0.0,True
24H Night,3,0,27,4500.0,5500.0,9500.000000000011,6026.683164525915,219.27575711850767,-2062.2877629597983,1196.8382568359375,False,0.0,True
24H Night,3,1,13,9500.0,10000.0,12500.0,9876.29687852126,722.4507246751052,-1523.940655517578,0.0,True,0.0,True
24H Night,4,0,35,5000.0,5500.0,5500.0,5010.791694613866,-66.3511625289917,-362.32905552937433,0.0,True,0.0,True
24H Night,4,1,8,12000.0,12125.0,12650.0,10762.431182861328,-487.5688171386719,294.14434814453125,0.0,True,0.0,True
24H Night,5,0,52,5500.0,6000.0,6500.0,5398.833576743419,-274.2433463335037,-870.8782347838084,0.0,True,0.0,True
24H Night,5,1,13,13000.0,13500.0,14000.0,12706.871871177967,129.94879425488986,264.380126953125,0.0,True,0.0,True
24H Night,6,0,38,5100.0,5500.0,6150.000000000002,5130.596412268124,-48.350956152928504,-368.8604964978165,0.0,True,0.0,True
24H Night,6,1,8,10000.0,10750.0,13300.0,7528.369114398956,-1971.6308856010437,-4234.499923706055,0.0,True,0.0,True
24H Night,7,0,6,3500.0,3500.0,3750.0,3729.3474477132163,312.6807810465495,-308.5388641357422,0.0,True,0.0,True
24H Night,7,1,9,5000.0,5500.0,5600.0,5425.56807200114,314.4569608900282,-3.9097061157226562,0.0,True,0.0,True
24H Night,8,0,5,3500.0,4500.0,4500.0,4266.594333934784,366.59433393478395,-148.1897029876709,0.0,True,0.0,True
24H Night,8,1,9,4500.0,5000.0,5700.0,4817.801055696275,262.24550014071997,-878.963857014974,0.0,True,0.0,True
24H Night,10,0,6,4000.0,4375.0,5250.0,4216.1187517642975,-117.21458156903584,-1183.008986711502,0.0,True,0.0,True
24H Night,11,0,9,4200.0,4500.0,4500.0,4066.0183886951872,-67.3149446381463,-374.38812601566315,0.0,True,0.0,True
24H Night,11,1,6,5500.0,5875.0,6250.0,5311.695976257324,-271.6373570760091,-764.8037414550781,0.0,True,0.0,True
24H Night,12,0,5,3500.0,3800.0,3920.0,3934.9652384757997,574.9652384757995,480.5939025878906,0.0,True,0.0,True
24H Night,12,1,6,4900.0,5000.0,5000.0,4665.360827128093,-134.63917287190756,-402.32093811035156,0.0,True,0.0,True
Couple Full Night,4,0,3,4000.0,4500.0,4800.0,3274.74755859375,-725.25244140625,-1327.183349609375,0.0,True,0.0,True
Couple Full Night,6,0,3,3500.0,3750.0,3900.0,3089.7029927571616,-410.29700724283856,-404.861328125,0.0,True,0.0,True
Couple Half Day,1,0,13,2000.0,2000.0,2200.0,2053.232744381978,22.463513612747192,-3.1582250396410623,0.0,True,0.0,True
Couple Half Day,2,0,14,1850.0,2000.0,2640.0,1988.9405792440687,-611.0594207559313,-1743.4639957972936,0.0,True,0.0,True
Couple Half Day,3,0,4,2250.0,2625.0,2850.0,2339.470657348633,89.47065734863281,-612.8106079101562,0.0,True,0.0,True
Couple Half Day,4,0,10,3250.0,4000.0,4500.0,3396.1142585277557,46.11425852775574,-1090.1687288880348,0.0,True,0.0,True
Couple Half Day,6,0,4,2350.0,2425.0,2470.0,2032.2449188232422,-267.7550811767578,-567.7550811767578,0.0,True,0.0,True
Couple Half Day,7,0,19,2000.0,2500.0,2500.0,2135.509420997218,93.40415783932335,-266.6514482498169,0.0,True,0.0,True
Couple Half Day,8,0,5,1500.0,2500.0,3100.0,2034.2989550590514,-5.701044940948487,-866.9930191040039,0.0,True,0.0,True
Couple Half Day,9,0,15,1500.0,1750.0,2000.0,1627.4294889767964,14.096155643463135,-219.1803436279297,0.0,True,0.0,True
