Month,Slot,Weekend,Records,MAE,MAPE,Bias,Confidence,Reliability
1,12H Day,No,1,6131.954154727797,68.66689982897869,-6131.954154727797,94.4,Critical
1,24H Day,Yes,1,12126.518821162152,76.45976558109805,-12126.518821162152,81.2,Critical
1,24H Night,Yes,1,11311.4875,62.32224517906335,-11311.4875,93.2,Critical
2,12H Day,No,6,4670.237790395607,58.991186748010314,-4670.237790395607,86.16666666666664,Critical
2,12H Day,Yes,3,5158.611111111111,62.34090779657841,-5158.611111111111,86.2,Critical
2,12H Night,No,2,6480.0,64.78152710247433,-6480.0,73.5,Critical
2,24H Day,No,2,11201.55770513034,76.96947177929235,-11201.55770513034,88.0,Critical
2,24H Night,No,3,11818.649318439604,73.42255992216921,-11818.649318439604,99.90000000000002,Critical
3,12H Day,No,3,4526.884902316571,55.11415953818657,-4526.884902316571,85.90000000000002,Critical
3,12H Day,Yes,2,4895.832803560077,46.824671087581976,-4895.832803560077,76.8,Weak
3,24H Day,No,1,10171.798313654432,68.82136883392714,-10171.798313654432,58.5,Critical
3,24H Night,Yes,3,9169.683625730993,62.366277782010904,-9169.683625730993,87.36666666666667,Critical
4,12H Day,No,2,4254.484988821461,47.052869882525485,-4254.484988821461,90.1,Weak
4,12H Day,Yes,2,3302.5,45.52188124947723,-3302.5,87.8,Weak
4,12H Night,No,2,6192.7215189873405,61.60370109586335,-6192.7215189873405,82.5,Critical
4,12H Night,Yes,1,5569.2405063291135,59.058754043787,-5569.2405063291135,82.5,Critical
5,12H Day,No,3,5790.038966859041,58.05000422514107,-5790.038966859041,82.0,Critical
5,12H Day,Yes,1,5631.09375,58.172456095041326,-5631.09375,82.0,Critical
5,12H Night,No,4,8080.207974899344,65.77535886411334,-8080.207974899344,69.8,Critical
5,12H Night,Yes,1,10270.67904590177,70.39533273407656,-10270.67904590177,69.8,Critical
5,24H Night,No,3,6668.021690429688,39.57667413860375,-6668.021690429688,99.83333333333333,Weak
6,12H Day,No,2,4465.316455696202,52.29927002635033,-4465.316455696202,83.5,Critical
6,12H Day,Yes,1,5540.833333333334,64.80506822612087,-5540.833333333334,83.5,Critical
6,12H Night,No,3,6748.333333333333,64.31700389484561,-6748.333333333333,72.1,Critical
6,24H Day,No,1,9432.992264416316,65.73513773112415,-9432.992264416316,84.4,Critical
6,24H Night,No,1,10500.064102564103,63.6753432538757,-10500.064102564103,93.9,Critical
7,12H Day,No,5,4619.465799147722,60.32930282678927,-4619.465799147722,91.60000000000001,Critical
7,12H Night,No,3,7236.56629318394,71.14192309878426,-7236.56629318394,82.3,Critical
7,12H Night,Yes,1,7388.632119514472,68.41326036587473,-7388.632119514472,82.3,Critical
7,24H Day,No,1,12743.59061960281,79.30050167767773,-12743.59061960281,86.0,Critical
7,24H Day,Yes,1,10953.486309020216,75.69790123718187,-10953.486309020216,86.0,Critical
7,24H Night,No,2,10670.317769652553,73.77636164628815,-10670.317769652553,98.0,Critical
8,12H Day,No,4,4683.554947832723,57.634381176289985,-4683.554947832723,86.9,Critical
8,12H Day,Yes,1,8759.940832689335,74.48929279497735,-8759.940832689335,69.2,Critical
8,12H Night,No,5,6602.210526315789,63.94494023793836,-6602.210526315789,68.5,Critical
8,12H Night,Yes,3,7043.333333333333,70.5185333400404,-7043.333333333333,68.5,Critical
8,24H Day,No,3,11312.034770268372,73.8696365387949,-11312.034770268372,78.2,Critical
8,24H Night,No,2,9949.916666666668,62.54509980925065,-9949.916666666668,88.1,Critical
8,24H Night,Yes,2,8866.145175438596,58.26886509583878,-8866.145175438596,88.1,Critical
9,12H Day,No,3,5175.614035087719,71.20472756316121,-5175.614035087719,93.5,Critical
9,12H Day,Yes,3,6983.964912280702,77.66789561290226,-6983.964912280702,85.83333333333333,Critical
9,12H Night,No,2,6728.684582743988,68.42052282155868,-6728.684582743988,88.8,Critical
9,12H Night,Yes,2,9057.142857142857,76.27309859919892,-9057.142857142857,88.8,Critical
9,24H Day,No,1,10788.157894736842,74.8138550259143,-10788.157894736842,81.5,Critical
9,24H Night,Yes,1,5704.903960764381,52.08372453528041,-5704.903960764381,76.8,Critical
10,12H Day,No,2,7044.210892286431,63.53549696277745,-7044.210892286431,83.2,Critical
10,12H Night,No,3,7180.036231884059,67.1215390192824,-7180.036231884059,72.4,Critical
10,24H Night,No,1,6189.642463768117,50.18629024676851,-6189.642463768117,84.1,Critical
10,24H Night,Yes,1,12132.619999999999,72.9123798076923,-12132.619999999999,84.1,Critical
11,12H Day,No,4,4332.101284260627,59.08915406086482,-4332.101284260627,77.7,Critical
11,12H Day,Yes,1,5440.919540229886,56.735344527944584,-5440.919540229886,56.1,Critical
11,12H Night,No,5,7570.0,75.41986834549147,-7570.0,83.9,Critical
11,12H Night,Yes,3,7892.06869633099,75.39652688066202,-7892.06869633099,83.9,Critical
11,24H Day,No,1,8072.596227843427,56.0986534249022,-8072.596227843427,82.5,Critical
12,12H Day,No,4,6373.162805709018,70.43879579786817,-6373.162805709018,84.5,Critical
12,12H Day,Yes,2,7453.155055940233,65.36527198337284,-7453.155055940233,70.0,Critical
12,12H Night,No,4,8506.666666666668,69.17921398867783,-8506.666666666668,80.1,Critical
12,12H Night,Yes,1,11526.666666666668,71.1083693193502,-11526.666666666668,80.1,Critical
12,24H Day,No,2,13792.5,79.34262098824146,-13792.5,77.1,Critical
12,24H Day,Yes,2,12758.75,72.3936218938734,-12758.75,38.55,Critical
12,24H Night,No,2,14252.189912735686,76.04555396434414,-14252.189912735686,82.1,Critical
