Segment_Type,Segment_Value,Count,ML_MAE,RAG_MAE,ML_Bias,ML_Win_Rate
Month,8,20,7631.182210286458,8756.386609564861,-7631.182210286458,100.0
Month,9,12,5761.21011013455,7481.06725146199,-5761.21011013455,100.0
Month,10,7,7819.962727864584,9185.19756838969,-7819.962727864584,100.0
Month,11,14,5549.742832728794,7210.952380952381,-5549.742832728794,92.85714285714286
Month,12,17,9651.541044347427,10884.21912624731,-9651.541044347427,94.11764705882352
Month,1,3,10292.537923177084,11413.89880952381,-10292.537923177084,100.0
Month,2,16,6617.825912475586,8237.791344294481,-6617.825912475586,100.0
Month,3,9,7532.7350169994215,7673.649722597092,-7532.7350169994215,55.55555555555556
Month,4,7,4789.10529436384,5494.285714285715,-4789.10529436384,100.0
Month,5,12,8696.537150065104,8644.133771929824,-8696.537150065104,75.0
Month,6,8,6966.081512451172,8074.17105263158,-6966.081512451172,87.5
Month,7,13,6621.3734788161055,8106.603521364546,-6621.3734788161055,100.0
Slot,24H Day,16,11586.879577636719,12053.80538856448,-11586.879577636719,87.5
Slot,12H Night,45,6811.049142795139,8287.396825396825,-6811.049142795139,100.0
Slot,12H Day,55,4611.581955788352,6137.402562027756,-4611.581955788352,96.36363636363636
Slot,24H Night,22,11681.470159357244,11777.687331740806,-11681.470159357244,72.72727272727273
Guest_Bucket,1-15,112,7126.46278817313,8290.041418640929,-7126.46278817313,91.96428571428571
Guest_Bucket,16-30,26,7859.723210261418,8999.052564689586,-7859.723210261418,96.15384615384616
Lead_Days,0-3,45,7588.25343786169,8907.808067742635,-7588.25343786169,97.77777777777777
Lead_Days,15-30,25,7042.982392578125,7980.177927495491,-7042.982392578125,84.0
Lead_Days,4-7,31,6779.950473580309,8128.880160563004,-6779.950473580309,100.0
Lead_Days,8-14,28,7463.244541713169,8281.065539402707,-7463.244541713169,82.14285714285714
Lead_Days,31+,9,7313.484375,8693.230472575386,-7313.484375,100.0
Weekend,Yes,7,8259.435756138393,7999.586767399268,-8259.435756138393,57.14285714285714
Weekend,No,131,7211.454850757395,8446.281665632963,-7211.454850757395,94.65648854961832
